page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
https://www.jagran.com/,5000,2002,272,13996717,1.0,1.0,1.0,23.0,Funding Choices
https://www.jagranjosh.com/,5000,76,23,1952329,1.0,1.0,1.0,22.0,Funding Choices
https://www.jal.co.jp/,5000,529,83,5995950,1.0,1.0,0.0,34.0,none
https://www.jansatta.com/,5000,1150,206,4569087,1.0,1.0,1.0,35.0,Funding Choices
https://www.jappy.com/,5000,36,6,10338372,1.0,0.0,0.0,5.0,none
https://www.javatpoint.com/,5000,1738,276,2925115,1.0,1.0,1.0,35.0,Conversant Consent Tool
https://www.javbus.com/,5000,21,1,134867,0.0,0.0,0.0,4.0,none
https://www.jcpenney.com/,5000,1522,309,6004149,1.0,1.0,1.0,63.0,AdRoll CMP System
https://www.jecontacte.com/,5000,71,16,1233166,1.0,1.0,0.0,8.0,none
https://www.jetpunk.com/,5000,849,199,1664263,1.0,1.0,0.0,25.0,none
https://www.jeuxvideo.com/,5000,620,186,3844254,1.0,1.0,1.0,28.0,Didomi
https://www.jigsawplanet.com/,5000,98,12,4984543,1.0,1.0,0.0,10.0,none
https://www.jio.com/,5000,66,11,1939682,1.0,0.0,0.0,16.0,none
https://www.jiomart.com/,5000,209,26,2180571,1.0,0.0,0.0,28.0,none
https://www.jiosaavn.com/,5000,67,6,1126557,1.0,0.0,0.0,13.0,none
https://www.jofogas.hu/,5000,146,18,4950211,1.0,1.0,0.0,21.0,none
https://www.johnlewis.com/,5000,177,11,10974670,1.0,0.0,0.0,18.0,none
https://www.jorudan.co.jp/,5000,267,98,2104764,1.0,1.0,0.0,18.0,none
https://www.journaldemontreal.com/,5000,314,74,4365318,1.0,1.0,1.0,38.0,Funding Choices
https://www.journaldesfemmes.fr/,5000,508,192,2726408,1.0,1.0,0.0,32.0,none
https://www.jovencitas.gratis/,5000,43,13,2320599,1.0,0.0,0.0,18.0,none
https://www.jprime.jp/,5000,688,188,10047439,1.0,1.0,1.0,28.0,Funding Choices
https://www.jstor.org/,5000,219,8,4741597,1.0,0.0,1.0,18.0,OneTrust
https://www.juegosonce.es/,5000,78,7,1412221,1.0,0.0,0.0,9.0,none
https://www.jugantor.com/,5000,1032,197,11662555,1.0,1.0,1.0,31.0,Funding Choices
https://www.junaidjamshed.com/,5000,414,42,2225355,1.0,1.0,1.0,31.0,AdRoll CMP System
https://www.juntadeandalucia.es/,5000,156,6,5526214,1.0,0.0,0.0,16.0,none
https://www.just-eat.co.uk/,5000,63,3,1531421,1.0,0.0,0.0,16.0,none
https://www.justanswer.com/,5000,118,34,1572731,1.0,1.0,1.0,30.0,AdRoll CMP System
https://www.justwatch.com/,5000,178,19,4171108,1.0,1.0,0.0,22.0,none
https://www.kalautsav.in/,5000,124,14,1303411,1.0,1.0,0.0,16.0,none
